编号	电子地址	实体地址	完成日期	完成日期附加	韵脚
501		St3-B3-1-1, St4-A2-4-2	2005/1/10		绿去
502		St3-B3-1-1, St4-G5-4-20	2005/1/10		天连圈(quan1)连
503		St3-B3-1-2	2005/1/28		堂床想翔；高到；漾翔望量(liang2)望
504		St3-B3-1-4	2005/2/18		财来
505		St3-B3-1-6, St4-A2-4-2, St4-G1-1a-6, St4-G5-4-20	2005/6/20		色错择
506		St3-B3-1-6, St4-A2-4-2, St4-F2-4-3	2005/6/20		多错车择
507		St3-B3-1-7, St4-A2-4-3	2005/7/1		天连浅
508		St3-B3-1-7	2005/7/1		表秒找秒
509		St3-B3-1-13	2005/7/5		当(dang1)厢撞
510		St3-B3-1-13, St4-A2-4-7a	2005/7/5		发(fa1)发(fa1)
511		St4-G1-1a-5	2005/9		室翅<吃吃>；5股
512		St4-G1-1a-5	2005/9		日时死
513		St4-G1-1a-5	2005/9		时s(si04)试
514		St4-G1-1a-5	2005/9		五<虎虎>苦
515		St4-G1-1a-6	2005/9		过错；梯梯
516		St4-G1-1b-13, St4-A4-1-11	2005/10	大约	三观(guan1)
517		St3-B3-1-20, St4-A2-4-4, St5-A0-3-2	2005/11/27		识知时
518		St3-B3-1-21, St4-A2-4-5	2005/11/27		少(shao3)朝(chao2)高
519		St3-B3-1-22, St4-A2-4-5	2005/11/27		高摇找倒(dao3)草
520		St3-B3-1-24	2005/12/2		通中红冲(chong1)东空丛笼(long01)
521		St3-B3-1-26	2005/12/3		城腾能城风
522		St3-B3-1-27	2005/12/3		关拦三
523		St3-B3-1-28	2005/12/4		家恰杀
524		St3-B3-1-29, St4-A2-4-7b	2005/12/12		吃食知
525		St3-B3-1-31	2005/12/24		水美累(lei4)内危贼维吹飞归；城证；内伪堆退悔伪美
601		St4-A2-4-8	2006/1/29		张良床
602		St4-A2-4-9	2006/2/1		糖藏(cang2)香
603		St4-A2-4-11~12, St4-E4-2-15	2006/3/26		难(nan2)甘难(nan2)
604		St4-A2-4-13	2006/3/26		县天电
605		St4-A2-4-14, St4-A2-4-16, St4-E4-2-44	2006/3/28		山单般
606		St4-E4-2-44	2006/6	大约	登征城争城胜
607		St4-A2-4-15	2006/6/22		险天点
608		St4-G3-3b-3	2006		错车夺说车货错特车个(ge04)托车车泽车错了(lë01)
609		St4-G3-4-7	2006/6	大约	登城胜
610		St4-G5-4-20	2006		瀑处
701		St4-A2-4-16	2007/1/20		点宽峦山断完
702		St4-A2-4-17, St4-B3-2-2a	2007/7/10		高桥焦
703		St4-A2-4-17, St4-B3-2-2a	2007/7/10		分人
704		St4-A2-4-17, St4-B3-2-2a	2007/7/10		合多折(zhe2)
705		St4-B3-2-2a	2007/7/10		潺站慢
706		St4-B3-2-2a	2007/7/10		红空重(zhong4)
707		St4-B3-2-2a	2007/7/10		革多
708		St4-B3-2-2a	2007/7/10		岭城腾
801		St4-B2-2b-9, St4-E2-4-6	2008		见脸遍
802		St4-E2-1-28a	2008/9	大约	别叶借
803		St4-E2-1-28a	2008/9		宿处助树楚图读处助木速出猪哭住无不(bu4)
804		St4-E2-1-28a	2008/9		野竭；翠水醉贵
805		St4-E2-1-16	2008		助路出处熟乎呼究族出古估路哭
806		St4-E2-2-19	2008/12		境亭静宁情星请
901		St4-E2-4-18	2009/3/12		站畔烂现券边山间(jian1)
902		St4-E2-5-24, St4-E2-4-27	2009/3		架架俩(lia3)话杀了(la04)吧(ba04)呀(ya04)化达呀(ya0→1♡)他沙
903		St4-E2-5-19b	2009/4/16		晨人衬伴站看神真
904		St4-E2-5-18a	2009/5		ラ(la01)家下怕踏架ラ(la1)加卡(ka3)ハ(ha1)
905-2		SPW-0'a-3-1a	2009/9		朗上畅旁商忙上香赏；掉造道
905-3		SPW-0'a-3-1a	2009/9		裂截裂贴(tie1)
905-5		SPW-0'a-3-1a	2009/9		线建
905-7		SPW-0'a-3-1b	2009/10	大约	茏中
905-10		SPW-0'a-3-1b	2009/10	大约	变前管言
905-11		SPW-0'a-3-1b	2009/10	大约	路住出
906		SPW-0'a-6-2b	2009	大约	山盘转(zhuan4)缓颤站染眼险
1001		SPW-0'a-13-1a	2010/1/8		玩(wanr2)班(banr1)
1002		SPW-0'a-16-1b	2010/3		<酸酸酸>
1003		SPW-0'a-16-1b	2010/3		碳<铵铵>
1004		SPW-0'a-16-1b	2010/3		气<滴滴>；雾<珠珠>
1005		SPW-0'a-16-2a	2010/4/8		操道；面见
1006		SPW-0'a-22-1a	2010/5/27		现变
1007		St4-A4-5-4	2010/7/7		头流走愁舟
1008		St4-A4-5-4	2010/7/7		国博矬落我说
1009		St4-E4-1-19	2010/8/6		淘(tao04)觉(jiao4)叫
1010	AWs-057	St4-E4-1-19, Bk3-17a, SPW-4.12-1	2010/8/6		求游宙右久舟丘构周纠沟球秋有
1011	YM2-0'9.14	Bk1-2b	2010/9/14		客(ker4)乐(ler4)
1012		Bk1-9a	2010/9		了(lë01)坡说得(de2)坡国我破
1013	AWs-007		2010/10		待彩来
1014	AWs-013	Bk1-14b	2010/10		班前天年[现变]
1015	AWs-016	Bk1-15b	2010/10		烛壶住书数(shu4)路数(shu4)物读术住筒出兔出怒如毒布出猪终古
1016	YM2-0'11.22-4	Bk1-16b	2010/11/22		好(hao3)少(shao3)着(zhao1)
1017	YM2-0'11.22-5	Bk1-16b	2010/11/22		惕七记
1018	YM2-0'11.23-1	Bk1-16b	2010/11/23		饭见
A01-1	AWs-054.1		2011/4/10		来百在开彩待
A01-2	AWs-054.1		2011/4/10		钱班
A01-3	AWs-054.1		2011/4/10		王方忘
A02	YM2-A5.5-7		2011/5/5		域T(ti4)
A03	AWs-062.1		2011/5/17		在待栽败带埋摆在白筛海来皑骸排太
A04-1	AWs-073		2011/6		蓝炫船展人
A04-2	AWs-073		2011/6		奇意仪旗
A04-3	AWs-073		2011/9/24		卡(ka3)话夸卡(ka3)家
A05	AWs-075		2011/6/23		坤宸人
A06	YM2-A7.9-6		2011/7/9		//布户
A07	YM2-A7.26		2011/7/26		//键现
A08	AWs-080		2011/7/28		界灭邪决耶(ye4)
A09	YM2-A8.20		2011/8/20		//团传(chuan2)
A10		SPW-A8.12-2	2011/9	大约	福护入步
A11	AWs-093		2011/9		岸圆卷(juan4)赞泉蓝烂转(zhuan3)幻繁传(chuan2)；[泉]展啖
A12-1	AWs-C01-1		2011/10		//{天然烟巅连}人；{盘峦叹}
A12-2	AWs-C01-1		2011/10		//{还攀}观(guan1)篇{天颜}
A13	YM2-A10.12-19		2011/10/12		//酒肉
A14	YM2-A10.14-5		2011/10/14		楼猴(hour2)
A15	AWs-104		2011/11/16		秀久后有周
A16	AWs-104		2011/11/17		界学
A17	AWs-107		2011/11/30		飏霜茫
A18-1	AWs-108		2011/12/4		革{得}(de2)；石子{时}
A18-2	AWs-108		2011/12/4		{摇}箫{朝}(chao2)；{人身}；天间(jian1)厌
A18-3	AWs-108		2011/12/4		{生行}；{止里死}；{收头}喽(lou0→4)；{索}革；威没(mei2)
A18-4	AWs-108		2011/12/4		{青情生}；复住{处}；旧走狗疚
A18-5	AWs-108		2011/12/4		日{时}；{草扫}着(zhao2)；{然眠天}；重(chong2)功{梦}疼
A18-6	AWs-108		2011/12/4		{电遍泉见}件；子{是}
A18-7	AWs-108		2011/12/4		{徊}栽{来}；{举}徐{雨}；长(zhang3){茫长}(chang2)
A18-8	AWs-108		2011/12/4		{处}出；扇(shan4)看万{见}；{词}字
A18-9	AWs-108		2011/12/4		响当(dang1)旁；腾中成能；日{时枝}
A19-1	AWs-127		2011/12		们(men02)人；布步；场浪航；[场浪]亮方
A19-2	AWs-127		2011/12		仙念神园船难(nan2)展；[船]难(nan2)现
A19-3	AWs-127		2011/12		卡(ka3)化；节雪；[节]切(qie4)界
B01	AWs-122		2012/1/9		念前天
B02	YM2-A1.27-4		2012/1/27		//菜派
B03	YM2-A1.28-4~5		2012/1/28		男啖
B04	AWs-128		2012/2/11		来彩怀来睐彩在载海戴白蔼
B05	AWs-086		2012/3/1		时日知
B06	AWs-133		2012/3/7		始子实市日
B07	AWs-134		2012/3		封{生}呈；站{霰}南；{尘}深门；止迟日；{悠愁楼}；徊{台来}；{闻}神深；{花}发(fa1)罚；{雾}处覆
B08	AWs-137		2012/3/19		浮覆珠图都(du1)出赋如录空乌幕涂拂出
B09	AWs-138		2012/4/6		败开在带栽宅埋豺怀
B10	AWs-139		2012/4/18		像仰长(chang2)忙咣烫光上装
B11		SPW-B4.x-2	2012/4		光唱望亮
B12	AWs-140-1		2012/5/4		绕嚣摇翘到
B13	AWs-140-2		2012/5/7		膀(bangr3)翔放
B14	YM2-B5.16-1		2012/5/16		//话大
B15	AWs-142		2012/5/23		镜晴定明景
B16-2	AWs-143		2012/5/28		<始始始始>师
B16-3	AWs-143		2012/5/28		团<反反团>判
B17-1	AWs-144		2012/6/4		边前念
B17-2	AWs-144		2012/6/4		境行(xing2)
B17-3	AWs-144		2012/6/4		默说索
B17-4	AWs-144		2012/6/4		场光上
B17-5	AWs-144		2012/6/4		漫含幻
B17-6	AWs-144		2012/6/4		回随灰味会
B17-7	AWs-144		2012/6/4		已体雨疑记息
B17-8	AWs-144		2012/6/4		中逢城
B18	AWs-148		2012/8/1		缘脸线帘
B19-1	AWs-149		2012/8/8		横空碰
B19-2	AWs-149		2012/8/8		事持滞时
B19-3	AWs-149		2012/8/8		找到消
B19-4	AWs-149		2012/8/8		环惯
B20	AWs-150		2012/9/8		徨茫亡张浪忘光往乡常旁阳上芳光黄望长(zhang3)唱放扬向亮
B21	AWs-153		2012/11/1		天间(jian1)
C01	YM2-C4.26		2013/4/26		//走口(kour3)
C02	YM3-C3.23-2		2013/3/23		行(xing2)星景
C03	AWs-175		2013/10/15		子知识日{思}(si4)驰
C04	AWs-178		2013/11		猫妖；味(weir4)仁(renr2)
C05	AWs-180		2013/12/5		弯乱干(gan4)繁酸半短站
D01-2	AWs-193.1		2014/7/17		{磨桌}锅过{说嗽说}科{搁}
D01-3	AWs-193.1		2014/7/17		{搏得坐}德辙谔哥嗦(suo01)窝
D01-4	AWs-193.1		2014/7/17		{磨得窝乐活我做辙}课格
E01	AWs-198		2015/4/15		淌芒旁香
E02	UMCM-9		2015/10/18		淡幻
E03-1	AWs-204		2015/11/15		下发(fa1)涯
E03-2	AWs-204		2015/11/15		起你去遇
E03-3	AWs-204		2015/11/15		[下发](fa1)家
F01	SA/D12.31		2016/2/3		亮装煌
F02-1	UMCM-8		2016/2/9		引心；放芳
F02-3	UMCM-8		2016/2/9		香眶
F03-2	MCmG-R06		2016/2/24		间(jian1)连点然
F03-4	MCmG-R06		2016/2/24		意你忆；处住度
F03-5	MCmG-R06		2016/2/24		了(liao3)跳道笑
F03-7	MCmG-R06		2016/2/24		体[你]意；色刻我
F04			2016/3/10		栓<懒懒>短；<配配>会
F05	AWs-214		2016/6/11		园线免见
F06	YM2-F6.16		2016/6/16		啥达话押吓哒
F07	UMCM-12		2016/6/16		白海快盖‖帆远般展渊泉眠
F08-1	YM3-F7.13-1°		2016/7/13	凌晨	{边}园{念}
F08-2	YM3-F7.13-1°		2016/7/13	凌晨	{入}路；寂去
F08-3	YM3-F7.13-1°		2016/7/13	凌晨	口走
F08-4	YM3-F7.13-1°		2016/7/13	凌晨	钟城
F08-5	YM3-F7.13-1°		2016/7/13	凌晨	原帆湾
F08-6	YM3-F7.13-1°		2016/7/13	凌晨	站检
F09	YM2-F9.11		2016/9/11		脸舔
F10	UMCM-7		2016/11/15		膛脏(zang4)
G01	AWs-243		2017/11/30		落客漠
H01	YM6-H2.1-10		2018/2/2		眼脸片(pian1)卷(juan3)
H02	YM6-H4.25-4		2018/4/25		牵山篇仙
H03	YM1-H7.3		2018/7/3		脱乐(le4)
I01	AWs-287		2019/4/28		默锁
I02	AWs-291-8		2019/10/29		鞋结；乐车
I03			2019/11		头愁
I04			2019/11/26		话差(cha4)
I05	YM3-I12.8-8		2019/12/8		星明农
I06	YM3-I12.12-3		2019/12/12		胖亮洋棒娘
I07-1			2019/12/15		7毕急
I07-2			2019/12/15		天间(jian1)饭眠
I07-3			2019/12/15		诗思吃子(zi0→1♡)
I08	YM3-I12.17-2		2019/12/17		南炎
J01			2020/2/2		假(jia4)挂
J02			2020/2/24		干(gan4)饭变
J03	YM3-J2.24-2		2020/2/24		岁水给(gei01)□(lei4)□(yei4)
J04			2020/3/1		慢站坦(tan01)
J05	YM3-J3.20		2020/3/20		薄(bo2)和(he2)活
J06	YM2-J4.2°		2020/4/2	凌晨	穿钻(zuan1)
J07			2020/5/8		急鱼
J07.1			2020/6/2		狗豆(dour4)；表苗(miaor2)
J08	YM3-J7.24-2		2020/7/24		政病
J09	YM3-J9.3-1		2020/9/4		准(zhunr3)卷(juanr3)
J10			2020/9/6		水X(aiks2)
J11			2020/12/14		<王王>糖
J12			2020/12/25		糕包；炖笨；失吃；门魂
J13	YM2-J12.31		2020/12/31		{样}娘方汤{项}
K01			2021/1/3		气屁；[气]嚏
K02			2021/1/6		克得(de2)夺者摸果捉
K03			2021/2/3		底里米；面羡
K04	YM3-K2.16-2		2021/2/16		片(pianr4)板(banr3)馅(xianr4)坎(kanr3)‖川砖；饼井
K05			2021/3/18		此雨
K06			2021/5/5		软碗完
K07			2021/6/18		特科
K08			2021/6/24		{已似水}
K09			2021/9/9		决姐(jie03)；对妹(mei04)；择哥(ge01)；气弟(di04)
K10			2021/9/15		嗑多说
K11	YM3-J10.9°-1		2021/10/9	凌晨	惊{生}亭{情}
K12	YM3-J11.4		2021/11/4		宗明请声睛锋
L01			2022/3/10		办烦
L02			2022/6/5		面羡
L03	YM3-L6.14-1		2022/6/14		是去‖站面
L04	YM3-L10.2-2		2022/10/2		色过
L05-1	SA/L10.9		2022/10/9		唱梁放藏(cang2)
L05-2	SA/L10.9		2022/10/9		据取郁去
L05-3	SA/L10.9		2022/10/9		下加；听明
L06			2022/11/1		娘羊
L07	YM3-L11.8-1		2022/11/8		糖娘
M01			2023/1/9		孩(hair2)儿(er2)
M02			2023/1/27		卖爱；饨(dun4)嫩棍
M03	YM1-M2.10		2023/2/10		处(chu4)故
M04			2023/2/11	凌晨	洼花(huar1)
M05			2023/2/23		京影(yingr3)行顶
M06			2023/3/2		雨你语□(dü4)
M07			2023/3/2		死质(zhi04)语s(si04)
M08			2023/3/2		甜(tian02)点咸绵涎
M09	YM1-M3.15		2023/3/15		情明
M10			2023/3/17		饨（dun4）棍人文
M11			2023/3/21		中踪；蓝眷船岸；[中]生
M12			2023/3/29		缀类邃翠
M13			2023/4/24		心津裙进音
